/lfs/f2/t2o/ptmp/emc/stmp/emc.lam/rrfs/v0.6.9/2023092418/anal_conv_dbz_gsi/background/fv3_phyvars
(1, 65, 2700, 3950)
0 ref 57.865868, T 256.38153 
1 ref 57.883297, T 242.87993 
2 ref 57.903492, T 239.39076 
3 ref 57.924217, T 236.25914 
4 ref 57.94758, T 234.33942 
5 ref 57.97242, T 229.46817 
6 ref 57.999454, T 227.08362 
7 ref 58.028736, T 225.48056 
8 ref 58.05927, T 225.58286 
9 ref 58.090725, T 226.62079 
10 ref 58.123184, T 227.11179 
11 ref 58.15501, T 226.90767 
12 ref 58.18216, T 227.49788 
13 ref 58.200794, T 227.96179 
14 ref 58.20653, T 228.1028 
15 ref 58.194977, T 228.53685 
16 ref 58.170364, T 228.62292 
17 ref 58.14698, T 228.5485 
18 ref 58.138725, T 228.75513 
19 ref 59.122482, T 230.84648 
20 ref 59.879482, T 232.75285 
21 ref 60.293953, T 234.36 
22 ref 60.831383, T 237.07288 
23 ref 61.649864, T 243.26105 
24 ref 63.15825, T 248.81601 
25 ref 64.026665, T 252.72086 
26 ref 64.83153, T 256.89526 
27 ref 65.57655, T 261.10864 
28 ref 66.1835, T 265.08057 
29 ref 68.25859, T 269.21756 
30 ref 68.64179, T 272.0641 
31 ref 68.39074, T 274.16412 
32 ref 68.386215, T 276.22787 
33 ref 67.89858, T 278.35345 
34 ref 67.326035, T 280.5398 
35 ref 66.83452, T 282.85776 
36 ref 66.32148, T 284.6858 
37 ref 66.028244, T 286.92337 
38 ref 65.80386, T 289.01956 
39 ref 65.38147, T 291.78406 
40 ref 64.76474, T 294.11197 
41 ref 64.069954, T 295.9996 
42 ref 63.31306, T 297.2094 
43 ref 62.562325, T 297.62744 
44 ref 61.85794, T 299.04712 
45 ref 61.126778, T 300.16782 
46 ref 60.41041, T 301.18884 
47 ref 59.83034, T 302.38718 
48 ref 59.11651, T 303.41425 
49 ref 58.10244, T 304.40137 
50 ref 56.26369, T 305.48273 
51 ref 52.78977, T 306.4551 
52 ref 45.605175, T 307.33206 
53 ref 16.91144, T 308.11972 
54 ref -35.0, T 308.81784 
55 ref -35.0, T 309.4585 
56 ref -35.0, T 310.0301 
57 ref -35.0, T 310.53897 
58 ref -35.0, T 311.00916 
59 ref -35.0, T 311.40692 
60 ref -35.0, T 311.80234 
61 ref -35.0, T 312.11316 
62 ref -35.0, T 312.46225 
63 ref -35.0, T 312.759 
64 ref -35.0, T 313.3297 
